publication,author,date,unit_deny_reason,reason,"note_on_sourcing:_i_got_this_information_through_a_request_to_the_tdcj_public_information_office,_received_10/14/2022.",year,month,day,state_arc
WIFETRESS ONE MAN'S WIFE ANOTHER MAN'S MISTRESS,"GRAVES, MELINDA",2016-12-08,"PGS 36,37& 38 RAPE","PGS 36, 37 & 38 RAPE",,2016,12,8,tx
WIFEY OF A TRAP KING,"KING, DARRELL",2020-06-15,AGE 115 RAPE,PAGE 115 RAPE,,2020,6,15,tx
WIGFIELD THE CAN-DO TOWN THAT JUST MAY NOT,"SEDARIS, AMY",2005-07-18,REASON F PAGE: 103 SEX EXP IMG,PG 103 SEXUALLY EXPLICIT IMAGES,,2005,7,18,tx
WILD ACT 3,"TAKADA, RIE",2021-01-25,PAGE 51 SEXUALLY EXPLICIT IMAGES,PAGE 51 SEXUALLY EXPLICIT IMAGES,,2021,1,25,tx
WILD ACT 5,"TAKADA, RIE",2021-01-25,PAGE 112 SEXUALLY EXPLICIT IMAGE,PAGE 107 SEXUALLY EXPLICIT IMAGES,,2021,1,25,tx
WILD CHERRY,JIHAD,2009-07-03,PG. 213 & 214 RAPE OF A MINOR ( AGE ON PG.214),PGS 213 & 214 RAPE OF MINOR (AGE PG 214),,2009,7,3,tx
WILD ESCAPE,"MARCIUS, CHELSIA",2020-03-12,NTIRE BOOK ESCAPE,PAGES 52-54 CONTAIN INFORMATION THAT COULD FACILITATE AN ESCAPE,,2020,3,12,tx
WILD LUST,"CARPENTER, S.L.",2011-10-10,"PGS 15,94 CONTAIN BONDAGE; PG 31 CONTAINS INCEST (BROTHER/SISTER)",PAGE 31 INCEST (BRO/SIS),,2011,10,10,tx
WILD SKETCHES 1,"ROYO, LUIS",2011-05-12,"AGES 7,8,9,10 & 12 SEXUALLY EXPLICIT IMAGES","PAGES: 7,8,9,10 & 12 SEI",,2011,5,12,tx
WILD SKETCHES 2,"ROYO, LUIS",2011-05-12,"AGES 7,9,11 & 12 CONTAIN SEXUALLY EXPLICIT IMMAGES","PAGES: 7,9,11 & 12 SEI",,2011,5,12,tx
WILD THANGS,"CHAPMAN, WINSTON",2007-03-20,PAGE: 226 SEX MNR,PG 226 SEX W/MINOR,,2007,3,20,tx
"WILD, THE","WEBSTER, K.",2022-03-11,"AGES 21, 22, 67-72 INCEST PAGES 110 & 111 RAPE",,,2022,3,11,tx
WILDERNESS SURVIVAL,"DAVENPORT, GREGORY",2011-12-19,"PAGES 170, 178, 179 MANUFACTURING WEAPONS","PAGES 170, 178 & 179 MFG WPN",,2011,12,19,tx
WILDERNESS WAYFINDING HOW TO SURVIVE IN THE WILDER,"NEWMAN, BOB",2001-07-30,HOW TO AVOID DETECTION BY AUTHORITIES (WAITING ON UNIT TO SEND PAGE NUMBERS),,,2001,7,30,tx
"WILDFLOWERS, THE","ANDREWS, V.C.",2021-10-07,"PAGES 540, 541, 550, 551, 559 INCEST FATHER/DAUGHTER","PAGE S540, 541, 550, 551 & 559 INCEST BETWEEN FATHER/DAUGHTER",,2021,10,7,tx
WILHELM VON GLOEDEN TAORMINA MASTERS OF THE CAMERA,"VON GLOEDEN, WILHELM",2001-05-21,"PAGES: 13, 26, 27, 34, 38 & 47 PHOTO OF NUDE CHILD","PGS 13, 26, 27, 34, 38 & 47 NUDE CHILD",,2001,5,21,tx
"WILL EISNER, CHAMPION OF THE GRAPHIC NOVEL","LEVITZ, PAUL",2021-08-12,"PAGES 131, 160, 186 SEXUALLY EXPLICIT IMAGES","PAGES 131, 160 & 186 CONTAIN SEXUALLY EXPLICIT IMAGES",,2021,8,12,tx
WILLIAM BLAKE MASTERPIECES OF ART,"KERRIGAN, MICHAEL",2019-10-24,"AGE 11, 13, 17, 18 & 44 SEXUALLY EXPLICIT IMAGES; PAGE 75, 81, 82 NUD E CHILD","PGS 74, 81 & 82 NUDE CHILD",,2019,10,24,tx
WILLIAM BOUGUEREAU,"BARTOLI, DAMIEN",2016-10-31,PAGES 249 AND 319 CONTAINS IMAGES OF NUDE CHILD,PGS 249 & 319 NUDE CHILD,,2016,10,31,tx
WILLIE LYNCH LETTER & THE MAKING OF A SLAVE,"LYNCH, WILLIE",2021-04-01,PAGES 11 & 13 RACIAL SLURS,PAGES 11 & 13 CONTAIN RACIAL MATERIAL,,2021,4,1,tx
WILLIE LYNCH LETTER AND THE MAKING OF A SLAVE,NONE,2022-04-29,PAGES 12 & 16 RACIAL CONTENT,PAGES 12 & 16 CONTAIN RACIAL MATERIAL,,2022,4,29,tx
WILLOW IN A STORM,"TAYLOR, JAMES",2009-06-18,PAGE: 170 INDECENCY WITH A CHILD (AGE ON PG 169),PG 170 IND W/CHI'D (AGE PG 169),,2009,6,18,tx
WINCHESTER AN AMERICAN LEGEND,"WILSON, R.L.",2018-11-13,"PAGES 4, 13, 22, 76, 84, 108, & 156 BREAKDOWN OF WEAPON","PAGES 4, 13, 22, 76, 84, 108 & 156 CONTAIN THE BREAKDOWN OF A WEAPON",,2018,11,13,tx
WIND AND LIES,"PARRISH, RICHARD",2009-08-25,PGS.258 * 259 CONTAIN RAPE,PGS 258 & 259 RAPE,,2009,8,25,tx
WINDHAVEN PLANTATION,"DE JOURLET, MARIE",2007-08-08,PAGE: 418 RAPE,PG 418 RAPE,,2007,8,8,tx
WINDOW IN PHOTOGRAPHS,"HELLMAN, KAREN",2018-09-13,PAGE 12 & 42 SEXUALLY EXPLICIT IMAGES,PGS 12 & 42 SEI,,2018,9,13,tx
WINDOWS KERNAL PROGRAMMING,"YOSIFOVICH, PAVEL",2021-12-15,NTIRE BOOK CYBER SECURITY CONCERNS - HOW TO OVERRIDE SYSTEMS TO RE- PROGRAM COMPUTERS,ENTIRE BOOK CONTAINS SECURITY CONCERNS,,2021,12,15,tx
WINDOWS OF THE SOUL,"AVAKIAN, ALEXANDRA",2013-06-27,PAGE 151 IMAGE OF NUDE CHILD,NUDE CHILD,,2013,6,27,tx
WINDS OF EVIL BK1 THE LAODICEA CHRONICLES,"GILBERT, SHARON",2005-07-29,PAGE 109 RAPE,PG 109 RAPE,,2005,7,29,tx
"WINE BIBLE, THE","MACNEIL, KAREN",2015-08-21,PGS 30 & 31 MFG ALCOHOL,PGS 30 & 31 MFG ALC,,2015,8,21,tx
