publication,author,date,unit_deny_reason,reason,"note_on_sourcing:_i_got_this_information_through_a_request_to_the_tdcj_public_information_office,_received_10/14/2022.",year,month,day,state_arc
"FACE OF STRUGGLE, THE","TOBOCMAN, SETH",2020-06-02,AGES 68 & 69 SEXUALLY EXPLICIT IMAGES,PAGES 68 & 69 SEXUALLY EXPLICIT IMAGES,,2020,6,2,tx
FACE ON PHOTOGRAPHY EXCHANGE,NONE,2021-09-30,"PAGES 12, 14, 52, 55 SEXUALLY EXPLICIT IMAGES","PAGES 12, 14 & 55 CONTAIN SEXUALLY EXPLICIT IMAGES",,2021,9,30,tx
FACES,"MADDOW, BEN",2019-01-02,"AGES 464, 466, 467 NUDE CHILD; PAGES 86, 211, 463 SEXUALLY EXPLICIT I MAGES","PGS 86, 211 & 463 SEXUALLY EXPLICIT IMAGES",,2019,1,2,tx
FACES OF AFRICA,"BECKWITH, CAROL",2009-09-09,"GS. 26,274 MALE GENITALS,AND PGS.86,88,109,123,169,184,186, FEAMLE BR EAST.",PAGE 95 CONTAINS A PHOTO OF A NUDE CHILD,,2009,9,9,tx
FACES OF EVIL,"GIBSON, LOIS",2013-03-08,PAGES 51-52 CONTAINS GRAPHIC DEPICTION OF RAPE,PG 51 & 52 RAPE,,2013,3,8,tx
FACES OF THE RAINFOREST THE YANOMAMI,"CRUZ, VALDIR",2007-08-21,REASON F,"PGS 23, 25 & 32 NUDE CHILD",,2007,8,21,tx
FACES OF THEDAS,"NORRIS, JACK",2021-07-07,PAGE 16 SEXUALLY EXPLICIT IMAGES,PAGE 16 CONTAINS SEXUALLY EXPLICIT IMAGES,,2021,7,7,tx
FACING VIOLENCE,"MILLER, RORY",2016-11-25,"AGE 96,97,100-115 CONTAINS OFFENSIVE AND DEFENSIVE FIGHTING TECHNIQUE S","PGS 96, 97, 100-115 OFF/DEF FIGHTING TECHNIQUES",,2016,11,25,tx
FACTORY MADE,"WATSON, STEVEN",2011-06-23,AGE 408 SEXUALLY EXPLICIT IMAGE,PAGE: 408 SEI,,2011,6,23,tx
FACTS IN THE CASE OF THE DEPARTURE OF MISS FIN,"GAIMAN, NEIL",2011-08-09,AGE 38 CONTAINS SEXUALLY EXPLICIT IMAGES,PAGE: 38 SEI,,2011,8,9,tx
FAERIES,"FROUD, BRIAN",2020-06-19,"PAGES 50, 61, 139-141 SEXUALLY EXPLICIT IMAGES","PAGES 50, 61 & 141 SEXUALLY EXPLICIT IMAGES",,2020,6,19,tx
FAERIES AND OTHER FANTASTIC FOLK,"GADD, MAXINE",2005-12-29,PAGE: 11 SEI,"PAGES: 42, 50, 71 & 77 SEI",,2005,12,29,tx
FAERIES DOORWAYS TO THE ENCHANTED REALM,"EISENKRAFT-PALAZZOLA, LORI",2005-07-15,"PAGES: 14, 30, 58 SEX EXP IMG","PGS 14, 30 & 58 SEI",,2005,7,15,tx
"FAERIES' ORACLE, THE","FROUD, BRIAN",2016-09-09,"AGES 83,90,116,118,125,130 CONTAIN SEXUALLY EXPLICIT IMAGES; SET CONT AINS 66 CARD DECK","PGS 83, 90, 116, 118, 125 & 130 SEXUALLY EXPLICIT IMAGES",,2016,9,9,tx
"FAERTYALE ORACLE, THE","CAVENDISH, LUCY",2019-06-11,PG 107 SEXUALLY EXPLICIT IMAGE,PG 107 SEXUALLY EXPLICIT IMAGE,,2019,6,11,tx
FAILED PRINCESSES V4,AJIICHI,2021-09-24,"PAGES 48, 49, 51 SEXUALLY EXPLICIT IMAGES","PAGES 48, 49 & 51 CONTAIN SEXUALLY EXPLICIT IMAGES",,2021,9,24,tx
FAILURE TO APPEAR,"JANCE, J.A.",2014-11-17,PAGE 142 CONTAINS INCEST BETWEEN FATHER AND DAUGHTER,PG 142 INCEST FTR/DTR,,2014,11,17,tx
FAILURE TO APPEAR,"JANCE, J.A.",2009-06-04,PAGES 190 & 191 INCEST (FTH/DTR),PGS 190 & 191 INCEST (FTR/DTR),,2009,6,4,tx
FAILURE TO APPEAR,"JANICE, J.A.",2009-01-14,AGE 152 AND 153 CONTAIN INCEST (FATHER/DAUGHTER),PGS 152 & 153 INCEST (FTR/DTR),,2009,1,14,tx
FAIRIES AND ELVES THE ENCHANTED WORLD,EDITORS OF TIME LIFE BOOK,2011-08-23,"PAGES 60, 61 & 71 CONTAIN SEXUALLY EXPLICIT IMAGES","PAGES: 60, 61 & 71 SEI",,2011,8,23,tx
"FAIRIES,MERMAIDS,AND OTHER MYSTICAL CREATURES","MALLETT, RENEE",2015-01-14,AGES 122 AND 152 CONTAINS SEXUALLY EXPLICIT IMAGES,PGS 122 & 152 SEXUALLY EXPLICIT IMAGES,,2015,1,14,tx
FAIRY,"BECKET-GRIFFITH, JASMINE",2018-04-27,"PGS 21, 28 & 30 CONTAIN SEXUALLY EXPLICIT IMAGES","PGS 21, 28 & 30 CONTAIN SEXUALLY EXPLICIT IMAGES",,2018,4,27,tx
FAIRY ART,"ZACZEK, IAIN",2007-07-25,REASON F,"PGS 14, 18, 19 & 21 SEI",,2007,7,25,tx
"FAIRY SONG: A GALLERY OF FAIRIES, SPRITES & NYMPHS",NONE,2013-05-29,"PAGES2,3,4,7,8,9,10,11,12 SEI",PAGES 2-4 & 7-12 SEXUALLY EXPLICIT IMAGES,,2013,5,29,tx
FAIRY TAILS 2,NONE,2022-09-14,"PAGES 1, 2, 5 & 7 CONTAIN SEXUALLY EXPLICIT IMAGES",,,2022,9,14,tx
FAIRY TALES,"CHATZOUDIS, ELIAS",2022-09-28,PREVIOUSLY DENIED PAGE 49 SEXUALLY EXPLICIT IMAGE,,,2022,9,28,tx
"FAIRY'S SONG,THE","BROWN, CARA",2011-09-06,AGE 84 & 87 SEI,PAGES: 84 & 87 SEI,,2011,9,6,tx
FAITHLESS 1,"AZZARELLO, BRIAN",2019-05-15,"AGES 22, 23, 24 & 25 SEXUALLY EXPLICIT IMAGES","PGS 22, 23, 24 & 25 SEXUALLY EXPLICIT IMAGES",,2019,5,15,tx
FAKE FUR,"YAMAGATA, SATOMI",2021-08-23,"PAGES 6, 7, 8, 10 SEXUALLY EXPLICIT IMAGES","PAGES 6, 7, 8 & 10 CONTAIN SEXUALLY EXPLICIT IMAGES",,2021,8,23,tx
FALCONER,"CHEEVER, JOHN",2013-08-27,PG 121 SEX W/MINOR (AGE ON PG 121),PAGE 121 SEX WITH A MINOR,,2013,8,27,tx
FALL,"FRANSCELL, RON",2006-11-13,PAGES: 95 & 96 RAPE,PGS 95 & 96 RAPE,,2006,11,13,tx
"FALL AND THE RISE OF BLACK MAN IN LOVE, THE","GLASPER, D'MARCUS",2021-08-25,FRONT COVER SEXUALLY EXPLICIT IMAGES,FRONT COVER CONTAINS A SEXUALLY EXPLICIT IMAGE,,2021,8,25,tx
FALL OF A SPARROW,"HELLENGA, ROBERT",2011-06-10,AGE 76 CONTAINS BEASTIALITY,PAGE: 76 BST,,2011,6,10,tx
FALL OF ATLANTIS,"GILMORE, T.M.",2015-06-29,PAGE 253 SODOMY,PG 253 RAPE,,2015,6,29,tx
"FALLEN DAUGHTER, THE","LAVEY, ZEENA",2011-05-27,PAGE 4 SEXUALLY EXPLICIT IMAGE,PAGE: 4 SEI,,2011,5,27,tx
FALLEN HERO VOL 10,"STINNETT, WAYNE",2018-04-03,PGS 14-18 RAPE,PGS 14-18 RAPE,,2018,4,3,tx
FALLEN STAR,"CLAYTON, DEBRA",2006-10-12,PAGES: 88 & 89 RAPE,PGS 88 & 89 RAPE,,2006,10,12,tx
FAMILY,"MEAD, MARGARET",2016-12-29,AGES 34 & 35 CONTAINS IMAGES OF NUDE CHILD,PGS 34 & 35 NUDE CHILD,,2016,12,29,tx
FAMILY HEALTH ENCYCLOPEDIA,"FERMIE, PETER",2014-06-13,AGE 233 PHOTO OF NUDE CHILD,PG 233 NUDE CHILD,,2014,6,13,tx
FAMILY MEDICAL GUIDE 4TH EDITION,AMERICAN MEDICAL ASSOC,2019-04-22,"PGS 120, 375, 431, 451 & 614 NUDE CHILD","PGS 120, 375, 431, 451 & 614 NUDE CHILD",,2019,4,22,tx
FAMILY MEDICINE,MCGRAW-HILL,2015-12-16,PG 16 NUDE CHILD,PHOTO INSERT: PG 16 CONTAINS IMAGE OF NUDE CHILD,,2015,12,16,tx
"FAMILY NEXT DOOR, THE","GLATT, JOHN",2020-03-06,"PAGES 28, 32, 37 INDECENCY WITH A CHILD",PAGES 28 & 37 INDECENCY WITH A CHILD,,2020,3,6,tx
"FAMILY NEXT DOOR, THE","GLATT, JOHN",2021-01-15,"PAGES 32, 40, 41 INDECENCY WITH CHILD",PAGES 32 & 41 INDECENCY WITH A CHILD,,2021,1,15,tx
"FAMILY OF MAN, THE","STEICHEN, EDWARD",2007-07-19,REASON F,PG 23 NUDE CHILD,,2007,7,19,tx
FAMILY PHOTOGRAPHERS PHOTOGRAPH THEIR FAMILIES,EDITORS OF PHAIDON PRESS,2008-04-16,RESAON F,PG 66 SEI,,2008,4,16,tx
FAMILY REFERENCE ATLAS OF THE WORLD,NATIONAL GEOGRAPHIC,2006-11-13,PAGES: 96 & 97 DETAILED MAPS OF TEXAS,PG 96 & 97 DETAILED MAPS OF TEXAS WHICH COULD FACILITATE AN ESCAPE,,2006,11,13,tx
FAMILY REFERENCE ATLAS OF THE WORLD 3RD ED.,NATIONAL GEOGRAPHIC,2014-02-26,PAGES 102 & 103 CONTAIN DETAILED MAP OF TEXAS,PGS 102 & 103 DETAILED MAPS OF TEXAS WHICH COULD FACILITATE AN ESCAPE,,2014,2,26,tx
FAMILY REFERENCE ATLAS OF THE WORLD 4TH ED.,NATIONAL GEOGRAPHIC,2018-05-07,AGES 104 & 105 CONTAIN DETAILED MAP OF TEXAS,PGS 104 & 105 CONTAIN DETAILED MAPS OF TEXAS,,2018,5,7,tx
FAMILY REFERENCE ATLAS OF THE WORLD 5TH ED.,NATIONAL GEOGRAPHIC,2022-05-04,"PAGES 104, 105 DETAILED MAPS OF TEXAS COULD FACILITATE AN ESCAPE",PAGES 104 & 105 CONTAIN DETAILED MAPS OF TEXAS WHICH COULD FACILITATE AN ESCAPE,,2022,5,4,tx
FAMILY TALES,"JONES, KADY",2015-03-19,"G.6,12,34,40,41,42,46 CONTAIN SECURITY THREAT GROUP INFORMATION","PGS 6, 12, 34, 40, 41, 42 & 46 STG",,2015,3,19,tx
FAMILY TRADITION,"LEE, EDWARD",2016-01-22,D: PAGE 7-8 CONTAINS RAPE.,PGS 7 & 8 RAPE,,2016,1,22,tx
"FAMILY TREE HISTORICAL MAPS BOOK, THE","DOLAN, ALLISON",2016-08-10,AGE 176-177 CONTAINS DETAILED MAP/ROAD OF MAP OF TEXAS.,PGS 176 & 177 DETAILED MAPS OF TEXAS WHICH COULD FACILITATE AN ESCAPE,,2016,8,10,tx
"FAMILY, THE (H)","PUZO, MARIO",2001-11-13,PAGES: 322 RAPE,PG 322 RAPE,,2001,11,13,tx
"FAMILY, THE (P)","PUZO, MARIO",2002-10-16,"PAGES: 52-54 & 195 INC; 272, 273 & 362 RAPE",PGS 272 & 362 RAPE,,2002,10,16,tx
FAMOUS MONSTER MOVIE ART OF BASIL GOGOS,"GAMMIL, KERRY",2021-02-04,AGE 51 SEXUALLY EXPLICIT IMAGE,AGE 51 SEXUALLY EXPLICIT IMAGE,,2021,2,4,tx
FAMOUS PAINTINGS PICTURE BOOK,"MCEWEN, ROLF",2019-02-12,"PAGES 5, 47, 48 & 50 NUDE CHILD","PGS 5, 47, 48 & 50 NUDE CHILD",,2019,2,12,tx
FANNY HILL,"CLELAND, JOHN",2019-09-11,"PGS 22, 27, 33, 39, 47 & 48 SEX W/MINOR",PAGE 48 SEX WITH A MINOR,,2019,9,11,tx
"FANTASTIC ART OF FRANK FRAZETTA,THE","FRAZETTA, FRANK",2009-10-07,"PGS. 1,5,13 & 83 SEI",PAGES 3 & 7 SEI,,2009,10,7,tx
FANTASTIC ART THE BEST OF LUIS ROYO,"ROYO, LUIS",2019-08-20,"PAGES 11, 16 & 27 SEXUALLY EXPLICIT IMAGES","PGS 11, 16 & 27 SEXUALLY EXPLICIT IMAGES",,2019,8,20,tx
FANTASY ART DRAWING FOR BEGINNERS,"RICKER, EMILY",2017-06-07,PAGES 53 & 53 CONTAIN SEXUALLY EXPLICIT IMAGES,PG 53 SEXUALLY EXPLICIT IMAGE,,2017,6,7,tx
FANTASY ART MASTERS THE BEST FANTASY & SCIENCE FIC,"JUDE, DICK",2007-03-01,REASON F,"PGS 7, 14, 52, 126 & 127 SEI",,2007,3,1,tx
FANTASY ART NOW,"VALLEJO, BORIS",2008-08-15,"PAGES 76,102 AND 106 CONTAINS SEI","PGS 76, 102 & 106 SEI",,2008,8,15,tx
FANTASY ART NOW: VERY BEST IN CONTEMPORARY FANTASY,"MCKENNA, MARTIN",2008-01-10,REASON F,"PGS 82, 97, 98, 102, 106 & 161 SEI",,2008,1,10,tx
"FANTASY ART OF FRAZETTA, THE 2018","FRAZETTA, FRANK",2018-02-27,PAGE 16 CONTAINS SEXUALLY EXPLICIT IMAGES,PG 16 SEXUALLY EXPLICIT IMAGES,,2018,2,27,tx
FANTASY ART TECHNIQUES,"VALLEJO, BORIS",2005-11-10,REASON F,PGS 22 & 115 SEI,,2005,11,10,tx
"FANTASY BOOK, THE","SILVER, GARY",2009-06-24,"PGS.17,48-49,60,66,68,76 AND 88 CONTAIN SEXUALLY EXPLICT IMAGES. ES.",PAGES 16 & 48 SEI,,2009,6,24,tx
FANTASY BOUND,"RENO, STEVE",2021-04-29,"PAGE 1,5, 8, 16, 17 SEXUALLY EXPLICIT IMAGE","PAGES 1, 5, 8, 16 & 17 SEXUALLY EXPLICIT IMAGES",,2021,4,29,tx
FANTASY CREATURES ULTIMATE GUIDE TO MASTERING,IMAGINE FX,2013-06-26,"AGES 49,51,54,58, AND 195 CONTAIN SEXUALLY EXPLICIT IMAGES.","PAGES 49, 51, 54, 58 & 195 SEXUALLY EXPLICIT IMAGES",,2013,6,26,tx
"FANTASY TATTOO SOURCE BOOK, THE",NONE,2014-04-15,"PGS 34, 54, 66 & 100 CONTAIN SEXUALLY EXPLICIT IMAGES","PGS 34, 54, 66 & 100 SEXUALLY EXPLICIT IMAGES",,2014,4,15,tx
FANTASY WORKSHOP A PRACTICAL GUIDE,"VALLEJO, BORIS",2005-06-28,REASON F PAGES: 28 & 30 SEX EXP IMG,PGS 28 & 30 SEI,,2005,6,28,tx
FANZINES THE DIY REVOLUTION,"TRIGGS, TEAL",2012-03-20,"PAGES 22,77 AND 150 CONTAIN SEXUALLY EXPLICIT IMAGES","PGS 22, 77 & 150 SEXUALLY EXPLICIT IMAGES",,2012,3,20,tx
FARM BOYS,"FELLOWS, WILL",2011-12-07,AGE 39 CONTAINS GRAPHIC DEPICTION OF SEX WITH A MINOR,PAGES 39 CONTAINS INDECENCY W/ CHILD,,2011,12,7,tx
"FARMER'S DAUGHTER, THE","HARRISON, JIM",2009-12-30,AGE 48 CONTAINS RAPE OF A MINOR. (PAGE 45 STATES AGE AS 15),PG 48 RAPE OF MINOR (AGE ON PG 45),,2009,12,30,tx
FARMING LIFE IN ANOTHER WORLD V1,"NAITO, KINOSUKE",2021-09-27,"PAGES 16, 102, 103 SEXUALLY EXPLICIT IMAGE",PAGES 102 & 103 CONTAIN SEXUALLY EXPLICIT IMAGES,,2021,9,27,tx
FASHION & SURREALISM,"BAUDOT, FRANCOIS",2010-01-06,"AGE PAGES 28,30,31 CONTAIN SEXUALLY EXPLICIT IMAGES","PGS 28, 30 & 31 SEXUALLY EXPLICIT IMAGES",,2010,1,6,tx
"FASHION BOOK, THE","MARTIN, RICHARD",2011-09-30,PG 259 CONTAINS SEXUALLY EXPLICIT IMAGE,PG 259 SEXUALLY EXPLICIT IMAGE,,2011,9,30,tx
FASHION EVOLUTION,"REED, PAULA",2021-11-16,"PAGES 139, 201 SEXUALLY EXPLICIT IMAGE",PAGES 139 & 201 CONTAIN SEXUALLY EXPLICIT IMAGES,,2021,11,16,tx
"FASHION OF FILM, THE","BUTCHART, AMBER",2020-01-14,"AGES 104, 175, 203 SEXUALLY EXPLICIT IMAGES","PAGES 104, 174 & 203 CONTAIN SEXUALLY EXPLICIT IMAGES",,2020,1,14,tx
FASTNER & LARSON'S DEVIL'S PLAYGROUND SKETCHES ART,"FASTNER, STEVE",2022-08-19,"PAGES 1, 24, 34, 37 & 45 CONTAIN SEXUALLY EXPLICIT IMAGES","PAGES 24, 34 & 37 CONTAIN SEXUALLY EXPLICIT IMAGES",,2022,8,19,tx
"FAT BITCH MY VOICE, MY PAIN, MY TRUTH","JOHNSON, REDS",2021-08-19,PAGE 21 INCEST BROTHER/SISTER,PAGE 21 CONTAINS GRAPHIC DEPICTION OF INCEST (BRO/SIS),,2021,8,19,tx
"FAT LADY SANG, THE","EVANS, ROBERT",2019-05-21,PG 184 SEXUALLY EXPLICIT IMAGE,PG 184 SEXUALLY EXPLICIT IMAGE,,2019,5,21,tx
"FAT MEXICAN, THE","CAINE, ALEX",2020-10-07,PHOTO INSERT PAGE 3 RACIAL,PAGES 177- 180 & PHOTO INSERT PGS 2 & 3 STG RELATED MATERIAL,,2020,10,7,tx
FATAL CHOICES,"BURKE, JAMES",2002-02-13,PAGE 57 INCEST FATHER/DAUGHTER; 70 & 116 SEX WITH MINOR; 118 & 119 IN DECENCY WITH A CHILD,PG 57 INC (FTR/DTR); 70 & 116 SEX W/MINOR; 118 & 119 IND W/CHILD,,2002,2,13,tx
FATAL EXIT,"SERRIAN, MICHAEL",2010-07-08,AGES 135-136 AND 163-165 ENCOURAGES DEVIANT CRIMINAL SEXUAL BEHAVIOR,,,2010,7,8,tx
FATALE BOOK 1 DEATH CHASES ME,"BRUBAKER, ED",2019-04-23,PG 41 SEXUALLY EXPLICIT IMAGE,PAGE 41 CONTAINS SEXUALLY EXPLICIT IMAGES,,2019,4,23,tx
FATALE BOOK 2 THE DEVIL'S BUSINESS,"BRUBAKER, ED",2021-09-29,"PAGES 64, 74 SEXUALLY EXPLICIT IMAGES",PAGES 64 & 74 CONTAIN SEXUALLY EXPLICIT IMAGES,,2021,9,29,tx
FATALE BOOK 3 WEST OF HELL,"BRUBAKER, ED",2019-04-23,PG 37 SEXUALLY EXPLICIT IMAGE,PAGE 37 CONTAINS SEXUALLY EXPLICIT IMAGES,,2019,4,23,tx
FATALE BOOK 4 PRAY FOR RAIN,"BRUBAKER, ED",2019-04-23,PG 26 SEXUALLY EXPLICIT IMAGE,PAGE 26 CONTAINS SEXUALLY EXPLICIT IMAGES,,2019,4,23,tx
FATALE BOOK 5 CURSE THE DEMON,"BRUBAKER, ED",2019-04-23,PGS 118 & 119 SEXUALLY EXPLICIT IMAGES,PAGES 118 & 119 CONTAIN SEXUALLY EXPLICIT IMAGES,,2019,4,23,tx
FATHER-DAUGHTER INCEST,"HERMAN, JUDITH",2009-04-24,PAGE 86 FATHER DAUGHTER INCEST,PG 86 INCEST (FTR/DTR),,2009,4,24,tx
FATHERS: A CELEBRATION,"SMITH, J.GERARD",2002-07-19,PAGES 71 & 74 NUDE CHILD,PGS 71 & 74 NUDE CHILD,,2002,7,19,tx
FAUNICATION - KALI'S STORY,"ABRAHAM, YAMILA",2018-08-31,PAGES 16 - 24 INCEST STEP FATHER AND STEP SON,,,2018,8,31,tx
FAVOLE 1: STONE TEARS,"FRANCES, VICTORIA",2008-08-04,REASON F,PGS 11 & 17 SEI,,2008,8,4,tx
FBI'S TEN MOST WANTED,"MATERA, DARY",2018-05-04,"PAGES 124,125,126 MANUFACTURING BOMBS","PGS 124, 125, 126 MFG EXP",,2018,5,4,tx
FEAR MY GANGSTA 4 KILL OR BE KILLED,"ADAMS, TRANAY",2020-10-22,"PAGES 150, 151, 152 RAPE",PAGE 152 RAPE,,2020,10,22,tx
FEAR NO EVIL (P) (H),"BRENNAN, ALLISON",2007-05-31,PAGES: 139 SEX MNR (AGE PG 138),PG 139 SEX W/MINOR (AGE PG 138),,2007,5,31,tx
"FEDERAL MAFIA, THE","SCHIFF, IRWIN",2022-04-12,PAGES 165-166 CONTAINS INFORMATION THAT COULD BE USED TO COMMIT FRAUD,PAGES 165 - 166 CONTAIN INFORMATION THAT COULD BE USED TO COMMIT FRAUD,,2022,4,12,tx
FEDOR THE FIGHTING SYSTEM OF THE WORLD'S UNDISPUTE,"CORDOZA, GLEN",2010-07-28,"AGES 51,131,169 CONTAINS OFFENSIVE AND DEFENSIVE FIGHTING TECHNIQUES","PGS 51, 131 & 169 OFF/DEF FIGHTING TECHNIQUES",,2010,7,28,tx
FEELING FRISKY,"LAURENTS, DAVID",2004-10-22,"PAGES:71, 76 & 77 M/H",,,2004,10,22,tx
FEENIN,"HALL, SERENITI",2011-08-26,AGES 200-202 CONTAINS RAPE.,PAGE: 201 GRAPHIC DEPICTION OF RAPE,,2011,8,26,tx
FEMALE EJACULATION,"POKRAS, SOMRAJ",2009-03-25,PAGE 77 CONTAIN SEXUALLY EXPLICIT IMAGES,PG 77 SEXUALLY EXPLICIT IMAGE,,2009,3,25,tx
FEMALE EJACULATION & G-SPOT,"SUNDAHL, DEBORAH",2015-09-04,"PAGES 54, 56 AND 80 CONTAIN SEXUALLY EXPLICIT IMAGES","PGS 54, 66 & 80 SEXUALLY EXPLICIT IMAGES",,2015,9,4,tx
FEMALE MASCULINITY,"HALBERSTAM, JUDITH",2015-03-12,F.37 CONTAIN SEXUALLY EXPLICIT IMAGES,PG 37 SEXUALLY EXPLICIT IMAGES,,2015,3,12,tx
FEMINISM,"JENAINATI, CATHIA",2021-09-13,"PAGES 74, 96, 97, 105, 157 SEXUALLY EXPLICIT IMAGES","PAGES 74, 96, 97, 105 & 157 CONTAIN SEXUALLY EXPLICIT IMAGES",,2021,9,13,tx
"FEMINIST REVOLUTION, THE","MORRIS, BONNIE",2020-07-03,G 12 CONTAINS SEXUALLY EXPLICIT IMAGE,PAGE 12 CONTAINS SEXUALLY EXPLICIT IMAGES,,2020,7,3,tx
FEMLIN,"NEIMAN, LEROY",2010-12-02,"PAGES 10,11,12,13 CONTAINS S.E.I","PAGES: 3,7 & 9 SEI",,2010,12,2,tx
FEMME FASHION,"BRATTIG, PATRICIA",2016-03-15,PAGES 65 & 120 CONTAIN SEXUALLY EXPLICIT IMAGES,PGS 65 & 120 SEXUALLY EXPLICIT IMAGES,,2016,3,15,tx
FEMME FATALE CINEMA'S MOST UNFORGETTABLE LETHAL,"MAINON, DOMINIQUE",2011-05-20,AGE 265 SEXUALLY EXPLICIT IMAGE,PAGE: 265 SEI,,2011,5,20,tx
"FENIX PEOJECTS BOOK ONE, THE","SOY, KATIE",2020-04-30,AGES 3-7 DEPITS RAPE,AGES 6 & 7 CONTAINS RAPE,,2020,4,30,tx
FERALS V1,"LAPHAM, DAVID",2021-07-19,PAGES 13 & 14 SEI,PAGE 13 CONTAINS A SEXUALLY EXPLICIT IMAGE,,2021,7,19,tx
FERALS V2,"LAPHAM, DAVID",2020-01-14,"AGES 3, 22, & 30 SEXUALLY EPXLICIT IMAGES","PAGES 3,22 & 30 CONTAIN SEXUALLY EXPLICIT IMAGES",,2020,1,14,tx
FERMENTATION,"SIMONSSON, ASA",2021-03-04,AGE 166 MANUFACUTRE OF ALCOHOL,AGE 166 MFG ALC,,2021,3,4,tx
FETISH,"GONZALEZ, J.F.",2021-06-28,PAGES 8 - 10 INCEST (MOTH/FATH/DAU),PAGES 8 & 9 INDECENCY WITH A CHILD,,2021,6,28,tx
FETISH AND THE ART OF THE TEESE,"TEESE, DITA VON",2006-12-05,REASON F,PG 45 SEI,,2006,12,5,tx
FETISH FASHION,NONE,2022-07-27,"PAGES 196, 197, 206, 397 & 399 CONTAIN SEXUALLY EXPLICIT IMAGES","PAGES 196, 197, 206, 397 & 399 CONTAIN SEXUALLY EXPLICIT IMAGES",,2022,7,27,tx
FETISH GODDESS DITA,"CZERNICH, PETER W.",2017-04-25,"AGES 9, 43, AND 97 CONTAIN SEXUALLY EXPLICIT IMAGES.","PGS 42, 43 & 97 CONTAIN SEXUALLY EXPLICIT IMAGES",,2017,4,25,tx
FETISH 101 CELEBRATE YOUR FANTASIES,"CZERNICH, PETER W.",2007-04-13,REASON F,PG 188 SEI,,2007,4,13,tx
"FETISH, FASHION, SEX & POWER","STEELE, VALERIE",2021-05-21,"PAGES 16, 145, 179 SEXUALLY EXPLICIT IMAGES","PAGES 16, 145 & 179 SEXUALLY EXPLICIT IMAGES",,2021,5,21,tx
FETISHISMS SEXY WIVES,"ADACHI, TAKUMI",2018-08-07,AGES 4 5 6 14 15 CONTAIN SEXUALLY EXPLICIT IMAGES,"PGS 10, 11, 20 & 21 SEXUALLY EXPLICIT IMAGES",,2018,8,7,tx
FETISHISMS:IMMORAL,"ADACHI, TAKUMI",2017-04-20,GS. 1-4 CONTAIN SEXUALLY EXPLICIT IMAGES,PGS 1-4 SEXUALLY EXPLICIT IMAGES,,2017,4,20,tx
FEVER MOON,"MONING, KAREN",2014-10-23,PAGE 21 SEI,PG 21 SEXUALLY EXPLICIT IMAGE,,2014,10,23,tx
FEVER PITCH 2,"CHATZOUDIS, ELIAS",2022-08-19,"AGES 7, 46 & 49 CONTAIN SEXUALLY EXPLICIT IMAGES",,,2022,8,19,tx
FEVRE DREAM,"ABRAHAM, DANIEL",2017-01-11,PG. 5 SEI,PG 5 SEXUALLY EXPLICIT IMAGE,,2017,1,11,tx
FIELD & STREAM BIG BUCK HUNTING,NONE,2021-06-24,PAGE 69 BREAKDOWN OF A WEAPON,PAGE 69 CONTAINS THE BREAKDOWN OF A WEAPON,,2021,6,24,tx
FIELD & STREAM THE TOTAL GUN MANUAL 375 ESSENTIAL,"PETZAL, DAVID E.",2018-06-28,"REASON B PAGES 14,30,31,66,67,68,75,&76 CONTAINS BREAKDOWN OF A WEAPON","PGS 37, 73, 74, 75 & 82 BRK WPN",,2018,6,28,tx
FIELD & STREAM TOTAL GUN MANUAL: 335 ESSENTIAL,"PETZAL, DAVID E.",2012-10-10,"PAGES 15, 33, 51, 55 & 69 CONTAIN BREAKDOWN OF GUNS","PAGES: 18, 37, 144 & 145 CONTAIN BREAKDOW OF WEAPON",,2012,10,10,tx
FIEND FOLIO TOME OF CREATURES MALEVOLENT & BEINGN,"TURNBULL, DON",2019-06-24,PG 59 SEXUALLY EXPLICIT IMAGE,PG 59 SEXUALLY EXPLICIT IMAGE,,2019,6,24,tx
"FIERY FURNACE, THE","AMEEN, KOJO",2016-03-08,THE ENTIRE BOOK COULD CREAT SECURITY CONCERNS,PAGES 62-64 CONCERN PLANS OF ESCAPE,,2016,3,8,tx
FIFTH BORN,"LOCKHART, ZELDA",2007-02-27,PAGES: 110 & 111 INC FTR/DTR,PGS 110 & 111 INCEST (FTR/DTR),,2007,2,27,tx
FIFTY CENTURIES OF ART,"TAYLOR, FRANCIS",2009-12-02,"AGES 66,67,74,82,84,114 AND 160 SEXUALLY EXPLICIT IMAGES AND PAGES 86 AND 99 PICTURE OF NUDE CHILD",PAGE 99 NUDE CHILD,,2009,12,2,tx
FIFTY SHADES OF ORAL PLEASURE,"BENNETT, MARISA",2013-11-08,"PG 25,35-41,77-82,95-106","PGS 25, 35-41, 77-82 & 95-106 SEXUALLY EXPLICIT IMAGES",,2013,11,8,tx
FIFTY STATES ALL YOU NEED TO KNOW,"BAIRD, LORI",2010-10-06,PAGE: 181 DETAILED MAP OF TEXAS,PAGE: 181 DETAILED MAP OF TEXAS,,2010,10,6,tx
FIFTY YEARS IN POLYGAMY,"DECKER, KRISTYN",2018-12-11,"PGS 27, 28, 29, 37, 38 & 39 RAPE OF MINOR (AGE PG 27)","PGS 27, 28, 29, 37, 38 & 39 RAPE OF CHILD (AGE PG 27)",,2018,12,11,tx
