clean_title,clean_author,subjects,source
A Little Gay History Desire & Diversity Across The,R.B. Parkinson,[],openlibrary.org
A Little Piece Of Light,Donna Hylton,"['Prison reformers', 'Administration of Criminal justice', 'Female offenders', 'Corrections', 'Women prisoners', 'Rehabilitation', 'Biography', 'Abused women', 'Women, united states', 'African american women', 'Women social reformers']",openlibrary.org
A Love Like Ours 8 A Dangerous Love,J. Peach,[],openlibrary.org
A Love So Gangsta,Breanna De'Shay,[],openlibrary.org
A Lovely Murder Down South,Paul Johnson,"['African Americans', 'Fiction']",openlibrary.org
A Maiden'S Grave,Jeffery Deaver,"['Hostages', 'Fiction', 'Kansas, fiction', 'Fiction, mystery & detective, general', 'Fiction, psychological', 'Potter, arthur (fictitious character), fiction', 'Hostage negotiations', 'Fugitives from justice', 'Deaf women', 'Large type books', 'English fiction', 'Deaf', 'Mystery fiction', 'Fiction, suspense']",openlibrary.org
A Marmac Guide To Dallas,Yves Gerem,"['Guidebooks', 'Dallas (tex.), description and travel']",openlibrary.org
A Masterclass In Drawing & Painting The Human Figu,Sarah Hoggett,[],openlibrary.org
A Message To Every Prisoner In America,Bryace Jones,"['Parole -- United States', 'Prisons - United States']",openlibrary.org
A Mind Of Its Own A Cultural History Of The Penis,David Friedman,[],openlibrary.org
A Most Unlikely Hero 7,Brandon Varnell,[],openlibrary.org
A Most Unlikely Hero 8,Brandon Varnell,[],openlibrary.org
A Most Unlikely Hero 9,Brandon Varnell,[],openlibrary.org
A Mourning In Autumn,Harker Moore,"['Police', 'Crimes against', 'Fiction', 'Japanese Americans', 'Women', 'New york (n.y.), fiction', 'Fiction, mystery & detective, police procedural']",openlibrary.org
A Natural Lizard Activity,B.J. Freedman,"['boylove', 'boylover', 'coming-of-age novel', 'California 1980s', 'Fiction, lgbtq+, gay']",openlibrary.org
A Need To Kill True-Crime Account Of John Joubert,Mark Pettit,[],openlibrary.org
A Oneness Of Mind,Andy Thomas,[],openlibrary.org
A Panther Is A Black Cat,Reginald Major,"['Black Panther Party', 'Politics and government', 'Race relations', 'African Americans', 'Black power', 'Black militant organizations', 'History']",openlibrary.org
A Perfect Evil,Alex Kava,"['Women detectives', 'Detective and mystery stories', 'Serial murders', ""Maggie O'Dell (Fictitious character)"", 'Executions and executioners', 'Government investigators', 'Fiction', 'Criminal profilers', 'Suspense', 'Sheriffs', 'Serial murderers', 'Thriller', 'Fiction, mystery & detective, police procedural', 'Fiction, thrillers, general', 'Nebraska, fiction', 'Large type books', 'Fiction, suspense', 'Serial murders, fiction', 'Fiction, thrillers, suspense']",openlibrary.org
A Perversion Of Justice,Kathryn Medico,"['Case studies', 'Murder', 'Murder, florida']",openlibrary.org
